"Name","dataset seed","State","Notes","Tags","Created","Runtime","backend","columns","distributions_args_cob","distributions_args_ig","distributions_args_iob","distributions_for_variates","distributions_kwargs_ig.loc","distributions_kwargs_ig.scale","distributions_kwargs_iob.loc","distributions_kwargs_iob.scale","number_of_segments","number_of_variates","resample_rule","segment_durations_long","segment_durations_short","wandb_project_name","duration in days NC","duration in days NN","duration in days RAW","duration in days RS","end date NC","end date NN","end date RAW","end date RS","frequency NC","frequency NN","frequency RAW","frequency RS","max MAE NC","max MAE NN","max MAE RAW","max MAE RS","max pattern frequency NC","max pattern frequency NN","max pattern frequency RAW","max pattern frequency RS","max segment length NC","max segment length NN","max segment length RAW","max segment length RS","mean MAE NC","mean MAE NN","mean MAE RAW","mean MAE RS","mean pattern frequency NC","mean pattern frequency NN","mean pattern frequency RAW","mean pattern frequency RS","mean segment length NC","mean segment length NN","mean segment length RAW","mean segment length RS","median MAE NC","median MAE NN","median MAE RAW","median MAE RS","median pattern frequency NC","median pattern frequency NN","median pattern frequency RAW","median pattern frequency RS","median segment length NC","median segment length NN","median segment length RAW","median segment length RS","min MAE NC","min MAE NN","min MAE RAW","min MAE RS","min pattern frequency NC","min pattern frequency NN","min pattern frequency RAW","min pattern frequency RS","min segment length NC","min segment length NN","min segment length RAW","min segment length RS","n observations NC","n observations NN","n observations RAW","n observations RS","n patterns NC","n patterns NN","n patterns RAW","n patterns RS","n segments NC","n segments NN","n segments RAW","n segments RS","n segments outside tolerance NC","n segments outside tolerance NN","n segments outside tolerance RAW","n segments outside tolerance RS","n segments within tolerance NC","n segments within tolerance NN","n segments within tolerance RAW","n segments within tolerance RS","start date NC","start date NN","start date RAW","start date RS","std MAE NC","std MAE NN","std MAE RAW","std MAE RS","std pattern frequency NC","std pattern frequency NN","std pattern frequency RAW","std pattern frequency RS","std segment length NC","std segment length NN","std segment length RAW","std segment length RS"
"skilled-disco-20","621906","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:28:56.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.1268]","[0]","[-0.1005]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14dd157f0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14fa9c310>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f764b50>""]","116.108","27.961","1.2901","3.219","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T16:44:59+00:00","2017-07-07T16:44:59+00:00","2017-07-07T16:44:59+00:00","2017-07-07T16:44:00+00:00","s","s","s","min","0.222","0.224","1.011","0.575","5","5","5","5","36000","36000","36000","600","0.118","0.119","0.626","0.206","4.348","4.348","4.348","4.348","12699","12699","12699","211.65","0.213","0.214","0.669","0.236","4","4","4","4","10800","10800","10800","180","0","0.001","0.004","0.007","4","4","4","4","900","900","900","15","1269900","1269900","1269900","21165","23","23","23","23","100","100","100","100","1","2","96","60","99","98","4","40","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.249","0.116","0.487","0.487","0.487","0.487","11119.439","11119.439","11119.439","185.324"
"cerulean-deluge-19","254769","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:28:19.000Z","35","agg","[""iob"",""cob"",""ig""]","[1,0.1907]","[0]","[-0.0011]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14fb689a0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x168856610>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14ee6b880>""]","131.9869","48.8511","0.9971","2.5405","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T21:44:59+00:00","2017-07-07T21:44:59+00:00","2017-07-07T21:44:59+00:00","2017-07-07T21:44:00+00:00","s","s","s","min","0.217","0.223","1.012","0.483","5","5","5","5","36000","36000","36000","600","0.115","0.118","0.615","0.204","4.348","4.348","4.348","4.348","12879","12879","12879","214.65","0.212","0.214","0.667","0.238","4","4","4","4","10800","10800","10800","180","0","0.001","0.004","0.011","4","4","4","4","900","900","900","15","1287900","1287900","1287900","21465","23","23","23","23","100","100","100","100","1","6","95","61","99","94","5","39","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.257","0.11","0.487","0.487","0.487","0.487","11233.493","11233.493","11233.493","187.225"
"chocolate-sea-18","492906","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:27:41.000Z","36","agg","[""iob"",""cob"",""ig""]","[1,0.0869]","[0]","[-0.2182]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14e7cba90>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14e7d3940>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14e7cbee0>""]","123.613","37.0815","0.4807","0.7327","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:00+00:00","s","s","s","min","0.218","0.219","1.025","0.495","5","5","5","5","36000","36000","36000","600","0.113","0.114","0.616","0.235","4.348","4.348","4.348","4.348","12675","12675","12675","211.25","0.21","0.21","0.668","0.244","4","4","4","4","10800","10800","10800","180","0","0.001","0.003","0.006","4","4","4","4","900","900","900","15","1267500","1267500","1267500","21125","23","23","23","23","100","100","100","100","2","2","96","72","98","98","4","28","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.104","0.104","0.254","0.123","0.487","0.487","0.487","0.487","11305.138","11305.138","11305.138","188.419"
"ancient-morning-17","178651","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:26:31.000Z","68","agg","[""iob"",""cob"",""ig""]","[1,0.1215]","[0.0138]","[-0.3154]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x1686ab760>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x1686b9e50>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f770700>""]","117.5193","27.8409","0.1375","0.5302","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T16:44:59+00:00","2017-07-07T16:44:59+00:00","2017-07-07T16:44:59+00:00","2017-07-07T16:44:00+00:00","s","s","s","min","0.221","0.222","1.013","0.572","5","5","5","5","36000","36000","36000","600","0.111","0.112","0.614","0.24","4.348","4.348","4.348","4.348","12699","12699","12699","211.65","0.211","0.212","0.668","0.264","4","4","4","4","10800","10800","10800","180","0","0","0.004","0.026","4","4","4","4","900","900","900","15","1269900","1269900","1269900","21165","23","23","23","23","100","100","100","100","2","2","96","71","98","98","4","29","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.254","0.129","0.487","0.487","0.487","0.487","11142.96","11142.96","11142.96","185.716"
"likely-darkness-16","305948","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:25:53.000Z","35","agg","[""iob"",""cob"",""ig""]","[1,0.125]","[0]","[-0.1154]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14dd15fa0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14dd05910>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14ddbf310>""]","112.6133","30.9116","1.489","2.1407","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T17:14:59+00:00","2017-07-07T17:14:59+00:00","2017-07-07T17:14:59+00:00","2017-07-07T17:14:00+00:00","s","s","s","min","0.221","0.221","1.021","0.594","5","5","5","5","36000","36000","36000","600","0.112","0.113","0.615","0.212","4.348","4.348","4.348","4.348","12717","12717","12717","211.95","0.21","0.212","0.667","0.235","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.007","4","4","4","4","900","900","900","15","1271700","1271700","1271700","21195","23","23","23","23","100","100","100","100","2","3","96","63","98","97","4","37","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.253","0.122","0.487","0.487","0.487","0.487","11275.629","11275.629","11275.629","187.927"
"faithful-hill-15","911395","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:25:18.000Z","33","agg","[""iob"",""cob"",""ig""]","[1,0.1293]","[0.0104]","[-0.3043]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x169197340>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14f7df310>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x1691972b0>""]","131.2902","45.9503","0.3637","0.7208","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T12:14:59+00:00","2017-07-07T12:14:59+00:00","2017-07-07T12:14:59+00:00","2017-07-07T12:14:00+00:00","s","s","s","min","0.218","0.219","1.01","0.554","5","5","5","5","36000","36000","36000","600","0.114","0.116","0.614","0.244","4.348","4.348","4.348","4.348","12537","12537","12537","208.95","0.213","0.214","0.667","0.278","4","4","4","4","10800","10800","10800","180","0","0.001","0.003","0.012","4","4","4","4","900","900","900","15","1253700","1253700","1253700","20895","23","23","23","23","100","100","100","100","2","2","95","74","98","98","5","26","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.256","0.124","0.487","0.487","0.487","0.487","11065.121","11065.121","11065.121","184.419"
"celestial-planet-14","626261","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:24:43.000Z","33","agg","[""iob"",""cob"",""ig""]","[1,0.0881]","[0]","[-0.3934]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x16ae21100>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x16ae2ae80>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x16ae212b0>""]","129.2143","46.3366","1.1972","1.9167","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T15:04:59+00:00","2017-07-07T15:04:59+00:00","2017-07-07T15:04:59+00:00","2017-07-07T15:04:00+00:00","s","s","s","min","0.218","0.218","1.025","0.526","5","5","5","5","36000","36000","36000","600","0.117","0.118","0.615","0.263","4.348","4.348","4.348","4.348","12639","12639","12639","210.65","0.212","0.213","0.667","0.285","4","4","4","4","10800","10800","10800","180","0","0","0.011","0.009","4","4","4","4","900","900","900","15","1263900","1263900","1263900","21065","23","23","23","23","100","100","100","100","1","2","96","78","99","98","4","22","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.104","0.104","0.248","0.119","0.487","0.487","0.487","0.487","11188.928","11188.928","11188.928","186.482"
"fanciful-deluge-13","949727","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:24:06.000Z","34","agg","[""iob"",""cob"",""ig""]","[1,0.0464]","[0]","[-0.5206]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14dcab7c0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14dc93160>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14dcab940>""]","113.1839","31.3848","0.7909","1.3817","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T09:34:59+00:00","2017-07-07T09:34:59+00:00","2017-07-07T09:34:59+00:00","2017-07-07T09:34:00+00:00","s","s","s","min","0.22","0.22","1.017","0.52","5","5","5","5","36000","36000","36000","600","0.116","0.116","0.621","0.292","4.348","4.348","4.348","4.348","12441","12441","12441","207.35","0.212","0.212","0.669","0.325","4","4","4","4","10800","10800","10800","180","0","0","0.001","0.022","4","4","4","4","900","900","900","15","1244100","1244100","1244100","20735","23","23","23","23","100","100","100","100","1","2","96","83","99","98","4","17","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.251","0.126","0.487","0.487","0.487","0.487","11121.842","11121.842","11121.842","185.364"
"firm-morning-12","776831","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:23:31.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0979]","[0.0165]","[-0.3543]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x15a3f43d0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14eed25e0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x15a3f47c0>""]","88.7941","22.0546","0.2439","0.8729","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T17:59:59+00:00","2017-07-07T17:59:59+00:00","2017-07-07T17:59:59+00:00","2017-07-07T17:59:00+00:00","s","s","s","min","0.218","0.218","1.025","0.569","5","5","5","5","36000","36000","36000","600","0.118","0.119","0.609","0.259","4.348","4.348","4.348","4.348","12744","12744","12744","212.4","0.212","0.213","0.669","0.29","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.015","4","4","4","4","900","900","900","15","1274400","1274400","1274400","21240","23","23","23","23","100","100","100","100","4","4","95","77","96","96","5","23","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.251","0.13","0.487","0.487","0.487","0.487","11272.773","11272.773","11272.773","187.88"
"trim-glade-11","403547","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:22:56.000Z","33","agg","[""iob"",""cob"",""ig""]","[1,0.1074]","[0.003]","[0.041]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14eec3910>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14da57c70>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14eec3640>""]","115.813","40.7024","0.4335","1.1122","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:00+00:00","s","s","s","min","0.221","0.222","1.011","0.404","5","5","5","5","36000","36000","36000","600","0.114","0.115","0.605","0.193","4.348","4.348","4.348","4.348","12675","12675","12675","211.25","0.212","0.213","0.668","0.234","4","4","4","4","10800","10800","10800","180","0","0.001","0.003","0.011","4","4","4","4","900","900","900","15","1267500","1267500","1267500","21125","23","23","23","23","100","100","100","100","0","0","96","57","100","100","4","43","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.247","0.11","0.487","0.487","0.487","0.487","11281.955","11281.955","11281.955","188.033"
"absurd-morning-10","713807","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:22:22.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0615]","[0.0782]","[-0.2362]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x15a39dac0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x15a3a76d0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x15daf3400>""]","109.5085","27.2984","1.148","2.0335","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T13:19:59+00:00","2017-07-07T13:19:59+00:00","2017-07-07T13:19:59+00:00","2017-07-07T13:19:00+00:00","s","s","s","min","0.22","0.221","1.018","0.455","5","5","5","5","36000","36000","36000","600","0.115","0.115","0.608","0.226","4.348","4.348","4.348","4.348","12576","12576","12576","209.6","0.213","0.213","0.668","0.262","4","4","4","4","10800","10800","10800","180","0","0","0.001","0.01","4","4","4","4","900","900","900","15","1257600","1257600","1257600","20960","23","23","23","23","100","100","100","100","1","1","95","70","99","99","5","30","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.256","0.116","0.487","0.487","0.487","0.487","11202.49","11202.49","11202.49","186.708"
"ruby-snowball-9","903019","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:21:47.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.2202]","[0]","[-0.0425]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14de30ac0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14de395b0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14eebe400>""]","117.1735","43.3512","0.1354","0.3602","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:59+00:00","2017-07-07T16:04:00+00:00","s","s","s","min","0.222","0.227","1.033","0.436","5","5","5","5","36000","36000","36000","600","0.118","0.122","0.62","0.205","4.348","4.348","4.348","4.348","12675","12675","12675","211.25","0.212","0.216","0.67","0.244","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.009","4","4","4","4","900","900","900","15","1267500","1267500","1267500","21125","23","23","23","23","100","100","100","100","3","7","96","62","97","93","4","38","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.247","0.111","0.487","0.487","0.487","0.487","11305.138","11305.138","11305.138","188.419"
"cool-dream-8","509791","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:21:12.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.1535]","[0]","[-0.2599]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x326014220>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14f902310>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x326014fa0>""]","105.2632","29.8555","0.1165","0.7685","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T14:04:59+00:00","2017-07-07T14:04:59+00:00","2017-07-07T14:04:59+00:00","2017-07-07T14:04:00+00:00","s","s","s","min","0.221","0.225","1.005","0.574","5","5","5","5","36000","36000","36000","600","0.118","0.12","0.618","0.236","4.348","4.348","4.348","4.348","12603","12603","12603","210.05","0.213","0.214","0.669","0.26","4","4","4","4","10800","10800","10800","180","0","0.001","0.003","0.026","4","4","4","4","900","900","900","15","1260300","1260300","1260300","21005","23","23","23","23","100","100","100","100","2","3","96","73","98","97","4","27","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.246","0.122","0.487","0.487","0.487","0.487","11153.841","11153.841","11153.841","185.897"
"magic-breeze-7","450299","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:20:37.000Z","32","agg","[""iob"",""cob"",""ig""]","[1,0.0641]","[0]","[-0.2274]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14ee2e400>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14ee4e0d0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14ee2e610>""]","120.3555","38.8793","0.4805","0.8212","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T15:59:59+00:00","2017-07-07T15:59:59+00:00","2017-07-07T15:59:59+00:00","2017-07-07T15:59:00+00:00","s","s","s","min","0.224","0.225","1.023","0.506","5","5","5","5","36000","36000","36000","600","0.112","0.112","0.605","0.223","4.348","4.348","4.348","4.348","12672","12672","12672","211.2","0.212","0.212","0.667","0.242","4","4","4","4","10800","10800","10800","180","0","0","0.003","0.019","4","4","4","4","900","900","900","15","1267200","1267200","1267200","21120","23","23","23","23","100","100","100","100","1","2","95","67","99","98","5","33","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.255","0.123","0.487","0.487","0.487","0.487","11168.472","11168.472","11168.472","186.141"
"stellar-star-6","631144","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:19:53.000Z","41","agg","[""iob"",""cob"",""ig""]","[1,0.1433]","[0]","[-0.0936]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14ef8b820>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14ef550a0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14ef8b070>""]","95.7793","26.6887","0.6418","1.6414","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T18:44:59+00:00","2017-07-07T18:44:59+00:00","2017-07-07T18:44:59+00:00","2017-07-07T18:44:00+00:00","s","s","s","min","0.222","0.226","1.008","0.537","5","5","5","5","36000","36000","36000","600","0.115","0.117","0.615","0.209","4.348","4.348","4.348","4.348","12771","12771","12771","212.85","0.212","0.214","0.668","0.239","4","4","4","4","10800","10800","10800","180","0","0","0.002","0.011","4","4","4","4","900","900","900","15","1277100","1277100","1277100","21285","23","23","23","23","100","100","100","100","0","1","95","63","100","99","5","37","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.255","0.112","0.487","0.487","0.487","0.487","11270.578","11270.578","11270.578","187.843"
"dashing-glitter-5","223064","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:19:12.000Z","38","agg","[""iob"",""cob"",""ig""]","[1,0.0786]","[0]","[-0.3509]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14fbaa4c0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14fb7f820>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x31993e700>""]","111.8077","30.1421","0.5652","0.9301","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T11:59:59+00:00","2017-07-07T11:59:59+00:00","2017-07-07T11:59:59+00:00","2017-07-07T11:59:00+00:00","s","s","s","min","0.219","0.22","1.013","0.483","5","5","5","5","36000","36000","36000","600","0.113","0.114","0.611","0.248","4.348","4.348","4.348","4.348","12528","12528","12528","208.8","0.212","0.213","0.668","0.284","4","4","4","4","10800","10800","10800","180","0","0","0.002","0.011","4","4","4","4","900","900","900","15","1252800","1252800","1252800","20880","23","23","23","23","100","100","100","100","3","3","96","75","97","97","4","25","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.248","0.121","0.487","0.487","0.487","0.487","11097.921","11097.921","11097.921","184.965"
"golden-moon-4","194746","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:18:35.000Z","35","agg","[""iob"",""cob"",""ig""]","[1,0.1107]","[0]","[-0.4394]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f93c9d0>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14dac0160>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f93c820>""]","113.3452","35.5533","0.2859","0.5602","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T14:04:59+00:00","2017-07-07T14:04:59+00:00","2017-07-07T14:04:59+00:00","2017-07-07T14:04:00+00:00","s","s","s","min","0.22","0.221","1.034","0.66","5","5","5","5","36000","36000","36000","600","0.112","0.113","0.614","0.272","4.348","4.348","4.348","4.348","12603","12603","12603","210.05","0.21","0.212","0.668","0.306","4","4","4","4","10800","10800","10800","180","0","0","0.001","0.022","4","4","4","4","900","900","900","15","1260300","1260300","1260300","21005","23","23","23","23","100","100","100","100","2","2","96","77","98","98","4","23","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.106","0.106","0.255","0.135","0.487","0.487","0.487","0.487","11059.549","11059.549","11059.549","184.326"
"youthful-star-3","768181","finished","creates synthetic data, uncorrelated, correlated normal and non-normal","30_ds_confirmatory_creation, Synthetic","2025-02-21T15:17:58.000Z","35","agg","[""iob"",""cob"",""ig""]","[1,0.0794]","[0.0067]","[-0.3198]","[""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f8de460>"",""<scipy.stats._discrete_distns.nbinom_gen object at 0x14f8e64f0>"",""<scipy.stats._continuous_distns.genextreme_gen object at 0x14f7dfe50>""]","121.2553","32.4773","0.5093","0.7066","100","3","1min","[21600,28800,36000]","[900,1200,1800,3600,7200,10800,14400,18000]","confirmatory_synthetic-correlated-data-n30","14","14","14","14","2017-07-07T22:44:59+00:00","2017-07-07T22:44:59+00:00","2017-07-07T22:44:59+00:00","2017-07-07T22:44:00+00:00","s","s","s","min","0.219","0.219","1.012","0.5","5","5","5","5","36000","36000","36000","600","0.12","0.121","0.62","0.249","4.348","4.348","4.348","4.348","12915","12915","12915","215.25","0.213","0.213","0.668","0.274","4","4","4","4","10800","10800","10800","180","0","0","0.004","0.019","4","4","4","4","900","900","900","15","1291500","1291500","1291500","21525","23","23","23","23","100","100","100","100","1","2","96","71","99","98","4","29","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","2017-06-23T00:00:00+00:00","0.105","0.105","0.245","0.124","0.487","0.487","0.487","0.487","11220.871","11220.871","11220.871","187.015"
